r,p_r,log_Pr_theta,half_log_Pr,r_ln2,log_Ar,Delta_r,deficiency_dr,dr_over_theta,A_r
2,3,1.791759469228055,0.8958797346140275,1.3862943611198906,0.6931471805599453,-0.2027325540540822,-0.2876820724517809,-0.16055842170362475,2
3,5,3.4011973816621555,1.7005986908310777,2.0794415416798357,1.6094379124341003,-0.09116077839697745,-0.28768207245178057,-0.0845825867098578,5
4,7,5.3471075307174685,2.6735537653587342,2.772588722239781,2.6390573296152584,-0.03449643574347583,-0.06453852113757108,-0.012069800498085622,14
5,11,7.745002803515839,3.8725014017579196,3.4657359027997265,5.342334251964811,1.4698328502068914,-1.063067351248698,-0.13725848501515314,209
6,13,10.309952160977376,5.154976080488688,4.1588830833596715,6.570882962339584,1.415906881850896,-0.4198138847218793,-0.040719285421212004,714
7,17,13.143165505033592,6.571582752516796,4.852030263919617,6.570882962339584,-0.0006997901772116677,1.7202522787743897,0.1308856894570463,714
8,19,16.087604484200032,8.043802242100016,5.545177444479562,11.050651881786404,3.006849639686388,-0.5082248420659354,-0.03159108259810051,62985
9,23,19.22309870012918,9.61154935006459,6.238324625039508,12.81333508693295,3.2017857368683593,0.17143898815672465,0.008918384638766515,367080
10,29,22.590394530115656,11.295197265057828,6.931471805599453,13.498556202220474,2.203358937162646,2.1603665222957282,0.09563208466393561,728364
11,31,26.0243817346008,13.0121908673004,7.6246189861593985,17.987161688041024,4.974970820740623,0.41260106040038025,0.015854403943506762,64822394
12,37,29.635299647245027,14.817649823622514,8.317766166719343,20.9904170946879,6.172767271065386,0.32711638583778324,0.011038065743606976,1306238010
13,41,33.348871713949336,16.674435856974668,9.010913347279288,23.137624701996174,6.463188845021506,1.2003336646738738,0.03599323164422957,11182598504
14,43,37.1100718296429,18.55503591482145,9.704060527839234,27.295606765935904,8.740570851114455,0.11040453586776167,0.0029750558386031577,715041747420
15,47,40.960219431352954,20.480109715676477,10.39720770839918,31.580599580684147,11.10048986500767,-1.0175878577303727,-0.02484332046696657,51913478860880
16,53,44.93051134490508,22.46525567245254,11.090354888959125,33.750760482513236,11.285504810060697,0.08939597343271544,0.0019896495890392874,454746157008780
17,59,49.0080487888108,24.5040243944054,11.78350206951907,36.77031225677077,12.266287862365374,0.4542344625209509,0.009268568607543886,9314160363311804
18,61,53.11892265298411,26.559461326492055,12.476649250079015,40.10353472787017,13.544073401378114,0.5387386750349279,0.010142123524500033,261062105979210899
19,67,57.32361527237507,28.661807636187536,13.16979643063896,40.10353472787017,11.441727091682633,4.050284113865942,0.07065646670435705,261062105979210899
20,71,61.58629514941639,30.793147574708193,13.862943611198906,47.992652706481095,17.199505131772902,-0.26930116826361683,-0.004372745066256333,696537082207206753590
21,73,65.87675459056479,32.93837729528239,14.556090791758852,52.34508129315318,19.406703997870785,-1.0244174943472402,-0.01555051551513381,54097844397380813592485
22,79,70.2462024430318,35.1231012215159,15.249237972318797,54.01200811046286,18.888906888946956,0.9849563602501519,0.014021489076921002,286495021083846822067820
23,83,74.6650430508284,37.3325215254142,15.942385152878742,59.64565248044876,22.31313095503456,-0.9229945824991006,-0.01236180339266355,80126789479717708423427654
24,89,79.15367942056054,39.57683971028027,16.635532333438686,62.614565110080484,23.037725399800216,-0.09641802295863755,-0.0012181116994744849,1560127578864999430859224574
