r,p_r,log_Pr_theta,half_log_Pr,r_ln2,log_Ar,Delta_r,deficiency_dr,dr_over_theta,A_r
9,23,19.22309870012918,9.61154935006459,6.238324625039508,12.81333508693295,3.2017857368683593,0.17143898815672465,0.008918384638766515,367080
10,29,22.590394530115656,11.295197265057828,6.931471805599453,13.498556202220474,2.203358937162646,2.1603665222957282,0.09563208466393561,728364
11,31,26.0243817346008,13.0121908673004,7.6246189861593985,17.987161688041024,4.974970820740623,0.41260106040038025,0.015854403943506762,64822394
12,37,29.635299647245027,14.817649823622514,8.317766166719343,20.9904170946879,6.172767271065386,0.32711638583778324,0.011038065743606976,1306238010
13,41,33.348871713949336,16.674435856974668,9.010913347279288,23.137624701996174,6.463188845021506,1.2003336646738738,0.03599323164422957,11182598504
14,43,37.1100718296429,18.55503591482145,9.704060527839234,27.295606765935904,8.740570851114455,0.11040453586776167,0.0029750558386031577,715041747420
15,47,40.960219431352954,20.480109715676477,10.39720770839918,31.580599580684147,11.10048986500767,-1.0175878577303727,-0.02484332046696657,51913478860880
16,53,44.93051134490508,22.46525567245254,11.090354888959125,33.750760482513236,11.285504810060697,0.08939597343271544,0.0019896495890392874,454746157008780
17,59,49.0080487888108,24.5040243944054,11.78350206951907,36.77031225677077,12.266287862365374,0.4542344625209509,0.009268568607543886,9314160363311804
18,61,53.11892265298411,26.559461326492055,12.476649250079015,40.10353472787017,13.544073401378114,0.5387386750349279,0.010142123524500033,261062105979210899
19,67,57.32361527237507,28.661807636187536,13.16979643063896,40.10353472787017,11.441727091682633,4.050284113865942,0.07065646670435705,261062105979210899
20,71,61.58629514941639,30.793147574708193,13.862943611198906,47.992652706481095,17.199505131772902,-0.26930116826361683,-0.004372745066256333,696537082207206753590
21,73,65.87675459056479,32.93837729528239,14.556090791758852,52.34508129315318,19.406703997870785,-1.0244174943472402,-0.01555051551513381,54097844397380813592485
22,79,70.2462024430318,35.1231012215159,15.249237972318797,54.01200811046286,18.888906888946956,0.9849563602501519,0.014021489076921002,286495021083846822067820
23,83,74.6650430508284,37.3325215254142,15.942385152878742,59.64565248044876,22.31313095503456,-0.9229945824991006,-0.01236180339266355,80126789479717708423427654
24,89,79.15367942056054,39.57683971028027,16.635532333438686,62.614565110080484,23.037725399800216,-0.09641802295863755,-0.0012181116994744849,1560127578864999430859224574
25,97,83.72839039906393,41.86419519953196,17.328679513998633,67.2538467024218,25.389651502889834,-0.8541358173565072,-0.010201268808411924,161426380685234430031618378949
26,101,88.34351091590518,44.17175545795259,18.021826694558577,69.14366576280787,24.971910304855278,1.1780184585387303,0.013334521645399564,1068347404745574833712572391014
27,103,92.97823990413482,46.48911995206741,18.714973875118524,73.02039717532885,26.53127722326144,1.2428688536874546,0.013367308899038248,51565063824073875067459064628030
28,107,97.65106873859672,48.82553436929836,19.408121055678468,78.84042837182292,30.014894002524564,-0.5974806889046675,-0.006118526879660381,17376527530646578467434402114640744
29,109,102.34241662082587,51.171208310412936,20.101268236238415,80.40630268968094,29.235094379268006,1.8348456949065195,0.017928496858780868,83178975774588723362622809955011654
30,113,107.0698044395382,53.5349022197691,20.79441541679836,87.61035325370521,34.07545103393611,-1.3349642309653689,-0.012468167266703254,111864677694414289915788562532755718450
31,127,111.9139915259968,55.9569957629984,21.487562597358306,89.80387180702435,33.84687604402595,0.6225571216141503,0.005562817598812342,1003057845958615687964806940916548516949
32,131,116.78918884919796,58.39459442459898,22.18070977791825,95.27173286165831,36.87713843705933,-0.6632537903786044,-0.005679068387357494,237677386422383250538406793947802711579305
33,137,121.70916977502607,60.854584887513035,22.873856958478193,98.52632750358363,37.671742616070595,0.30898531296425347,0.0025387184345715195,6158009534632138601476281839417693232400059
